Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
1347,Rent,1121076,2 years,0,15,21,541244,1,,1,debt consolidation,Short Term,207702,191653,21487,722,0
1348,Rent,718694,6 years,1,9,20.4,352484,2,,1,buy a car,Short Term,166430,99845,12158,739,0
1349,Rent,2259936,7 years,0,8,12.7,364276,1,79,1,debt consolidation,Short Term,218064,135603,19963,740,0
1350,Rent,1056761,3 years,0,12,7.2,345312,0,,0,debt consolidation,Short Term,219604,139574,12065,728,0
1351,Home Mortgage,1161660,10+ years,0,9,16,439054,0,,0,debt consolidation,Long Term,483098,203623,25073,662,0
1352,Home Mortgage,3230969,5 years,0,9,9.5,252780,0,20,0,debt consolidation,Short Term,220066,82517,37156,698,1
1353,Own Home,911259,4 years,0,13,17.6,128656,0,29,0,debt consolidation,Long Term,246576,31559,9872,724,0
1354,Home Mortgage,1550552,4 years,0,13,11,567600,0,20,0,debt consolidation,Short Term,448844,188233,9962,740,0
1355,Rent,,< 1 year,0,8,12.2,575586,0,,0,debt consolidation,Short Term,538846,455335,23888,,1
1356,Rent,1633183,8 years,0,16,11,569338,0,22,0,debt consolidation,Short Term,225126,296989,31031,740,1
1357,Home Mortgage,1589065,1 year,0,10,24.9,1017610,0,16,0,debt consolidation,Long Term,772618,665285,23968,696,0
1358,Own Home,1104869,10+ years,0,10,34.4,1135772,0,13,0,debt consolidation,Short Term,538670,766080,33975,736,1
1359,Home Mortgage,1270055,8 years,0,8,20.2,574420,1,,1,debt consolidation,Short Term,21780,81358,14077,725,0
1360,Home Mortgage,473195,10+ years,0,8,10,361680,0,71,0,debt consolidation,Short Term,61358,115577,4929,726,0
1361,Home Mortgage,1018001,5 years,0,11,18.9,345884,1,,1,debt consolidation,Long Term,216282,185801,7491,658,0
1362,Own Home,340670,,0,8,19,249876,0,8,0,debt consolidation,Short Term,156134,171988,4003,712,0
1363,Rent,719511,10+ years,0,10,24.3,732512,0,,0,debt consolidation,Short Term,111056,342266,6500,7490,1
1364,Rent,2528577,1 year,0,12,19.1,941006,0,46,0,debt consolidation,Short Term,99999999,741988,36243,686,0
1365,Home Mortgage,1734529,10+ years,0,8,15.6,2391576,0,42,0,other,Short Term,331056,1774220,50446,728,0
1366,Home Mortgage,2515201,8 years,0,13,18.1,891198,0,31,0,debt consolidation,Long Term,521620,627285,21169,729,0
1367,Home Mortgage,911924,10+ years,0,10,12.1,547602,0,,0,buy house,Short Term,195448,93632,13527,748,1
1368,Have Mortgage,1111728,6 years,0,10,15.1,173866,0,14,0,take a trip,Short Term,102982,127946,18807,681,0
1369,Home Mortgage,2001232,10+ years,0,9,29,158466,0,8,0,debt consolidation,Long Term,322036,74309,2268,705,0
1370,Rent,1712736,10+ years,0,8,27.9,687434,0,27,0,debt consolidation,Long Term,506814,448837,25120,706,0
1371,Home Mortgage,1327473,10+ years,0,13,18.2,352352,1,,1,debt consolidation,Short Term,175670,106495,24558,734,0
1372,Rent,1631701,1 year,0,10,12.3,373428,0,69,0,debt consolidation,Long Term,751454,295089,13190,688,1
1373,Rent,886122,10+ years,0,6,23.4,257818,1,,1,other,Long Term,314358,115121,9157,669,0
1374,Rent,1416735,4 years,0,32,16.2,1697212,0,14,0,debt consolidation,Long Term,437448,504222,20070,721,1
1375,Rent,,< 1 year,0,11,9.4,536558,0,,0,debt consolidation,Short Term,422246,243751,21986,,1
1376,Home Mortgage,1632195,8 years,0,8,21.1,891990,0,,0,business loan,Short Term,43956,103227,4652,751,0
1377,Home Mortgage,1040820,6 years,0,6,15.8,390060,3,76,3,debt consolidation,Long Term,99999999,121942,3573,719,0
1378,Home Mortgage,1711292,10+ years,0,12,22.3,392238,0,29,0,other,Long Term,516912,184946,20821,703,0
1379,Rent,1003808,2 years,0,12,11,322102,0,,0,debt consolidation,Short Term,178816,157434,5889,728,0
1380,Rent,731101,3 years,0,27,35,1041524,0,10,0,debt consolidation,Short Term,178222,225777,16145,742,0
1381,Rent,,2 years,0,3,15.3,131230,0,,0,debt consolidation,Short Term,218702,110599,8549,,0
1382,Home Mortgage,2424210,6 years,0,11,16,1406196,0,,0,debt consolidation,Short Term,614020,729885,35757,744,0
1383,Rent,1020756,< 1 year,0,9,14,495858,0,,0,debt consolidation,Short Term,99999999,168302,9187,738,0
1384,Home Mortgage,1614981,7 years,0,8,21,492250,0,,0,debt consolidation,Short Term,343904,400482,15881,741,0
1385,Own Home,942685,3 years,0,11,10.3,524502,0,64,0,debt consolidation,Short Term,125532,207005,15633,738,0
1386,Home Mortgage,,7 years,0,9,17.5,1171654,0,,0,debt consolidation,Long Term,619080,733609,35568,,1
1387,Home Mortgage,1144446,4 years,0,13,7,1115774,0,,0,debt consolidation,Short Term,318032,640813,19265,748,0
1388,Rent,476520,< 1 year,0,6,32.3,145706,0,,0,debt consolidation,Short Term,121396,92112,3737,728,0
1389,Own Home,,2 years,0,6,9.6,135168,0,,0,other,Short Term,305250,110903,12391,,0
1390,Home Mortgage,708472,3 years,0,9,18.2,525712,0,25,0,debt consolidation,Short Term,164076,176624,12989,732,0
1391,Own Home,1145130,2 years,0,10,16.3,1036486,0,28,0,debt consolidation,Short Term,585618,782344,28056,726,0
1392,Home Mortgage,1338588,5 years,1,23,18.2,1550340,1,46,0,debt consolidation,Short Term,538186,301264,25545,749,1
1393,Rent,,6 years,3,15,18.8,735108,3,78,0,debt consolidation,Long Term,327360,142215,25052,,0
1394,Home Mortgage,2814964,,0,9,38.7,501248,0,15,0,debt consolidation,Short Term,766150,335920,36360,725,0
1395,Rent,917111,10+ years,0,7,14.7,546326,0,,0,debt consolidation,Long Term,232298,289712,11082,694,0
1396,Rent,852492,10+ years,0,10,20.9,360866,0,,0,debt consolidation,Short Term,300432,117819,16837,747,0
1397,Home Mortgage,3443598,10+ years,0,13,21.8,542982,0,5,0,debt consolidation,Long Term,664554,336224,42471,710,0
1398,Home Mortgage,,9 years,0,9,17,649858,0,,0,business loan,Long Term,317064,423168,15770,,0
1399,Rent,,9 years,0,7,16.7,727430,0,,0,take a trip,Short Term,60566,143241,9186,,0
1400,Home Mortgage,718485,3 years,0,10,12.8,645216,0,,0,debt consolidation,Short Term,99999999,324862,17064,742,0
1401,Home Mortgage,1374631,10+ years,0,9,18.6,369666,0,,0,debt consolidation,Short Term,448360,216448,15694,727,1
1402,Rent,892126,,0,11,13.2,654302,0,8,0,debt consolidation,Short Term,64570,156522,22749,715,0
1403,Rent,1913680,10+ years,0,11,22.6,1244474,0,,0,debt consolidation,Short Term,664752,283746,29024,749,0
1404,Rent,349391,< 1 year,0,4,12.7,0,0,0,,other,Short Term,11242,0,1243,747,0
1405,Rent,1390572,2 years,0,7,9.2,118360,0,,0,other,Short Term,223630,38342,7671,741,0
1406,Home Mortgage,1178361,3 years,0,16,11.4,454256,0,48,0,debt consolidation,Long Term,539044,309928,25138,716,0
1407,Own Home,513380,3 years,0,5,10.7,51788,0,27,0,other,Short Term,67562,36537,4355,713,0
1408,Rent,1119708,< 1 year,0,10,17.9,369468,1,,1,debt consolidation,Short Term,237688,117097,19502,740,0
1409,Own Home,1325478,1 year,0,12,23.9,288926,0,13,0,debt consolidation,Short Term,122782,147478,14580,723,0
1410,Rent,,1 year,0,5,7.6,299992,0,,0,debt consolidation,Short Term,185064,240692,11599,,1
1411,Own Home,915325,10+ years,0,23,25,1494592,0,,0,debt consolidation,Short Term,99999999,259445,17544,737,0
1412,Home Mortgage,1818452,10+ years,0,13,17.3,549318,0,34,0,debt consolidation,Short Term,277002,283689,44249,741,0
1413,Rent,,3 years,0,11,10.2,254254,0,12,0,debt consolidation,Short Term,234630,75544,5113,,1
1414,Home Mortgage,,6 years,0,9,17.2,1081762,0,,0,debt consolidation,Short Term,431244,639958,19312,,0
1415,Own Home,,4 years,0,12,10,564960,0,17,0,debt consolidation,Long Term,314864,141987,23039,,0
1416,Own Home,1651822,5 years,0,10,16.2,841874,0,44,0,debt consolidation,Long Term,787556,554762,33174,687,1
1417,Home Mortgage,3304157,3 years,0,18,18.5,1070278,0,,0,debt consolidation,Short Term,252890,668306,66909,742,0
1418,Home Mortgage,940120,5 years,0,15,13.5,753522,0,,0,debt consolidation,Long Term,397320,463353,20604,6950,1
1419,Own Home,1161983,5 years,0,20,21.1,640068,0,,0,debt consolidation,Long Term,260414,322829,29824,684,0
1420,Home Mortgage,1146517,< 1 year,0,9,10.9,421168,0,,0,home improvements,Short Term,438856,236075,7280,737,0
1421,Home Mortgage,,10+ years,0,13,13.8,1145716,0,,0,debt consolidation,Long Term,488576,513551,15961,,1
1422,Rent,,3 years,0,10,8.6,561528,0,,0,debt consolidation,Short Term,738386,208050,6090,,1
1423,Home Mortgage,1531514,10+ years,0,7,17.5,436876,0,40,0,debt consolidation,Long Term,756910,164882,24887,694,0
1424,Rent,1515307,10+ years,0,11,8.2,637296,0,,0,debt consolidation,Short Term,454894,324178,31569,714,0
1425,Rent,2100773,10+ years,0,16,17.6,1350646,0,,0,debt consolidation,Long Term,547866,744211,56021,701,1
1426,Home Mortgage,1005195,5 years,0,20,27.3,790460,0,30,0,debt consolidation,Short Term,214874,341335,20439,721,0
1427,Home Mortgage,,10+ years,0,7,24.9,0,0,62,0,other,Short Term,757834,0,14805,,0
1428,Rent,,10+ years,0,15,17,203236,1,24,1,debt consolidation,Long Term,242066,124279,14858,,1
1429,Rent,782192,3 years,0,7,13.7,188298,0,45,0,other,Short Term,405944,6669,5690,736,0
1430,Own Home,610736,< 1 year,0,9,16.2,380006,0,45,0,debt consolidation,Short Term,101662,158840,9314,713,0
1431,Home Mortgage,1050548,2 years,0,19,17.9,1279058,0,20,0,debt consolidation,Short Term,265408,716908,30116,730,0
1432,Home Mortgage,1168215,9 years,0,13,14.6,263978,0,65,0,debt consolidation,Short Term,137456,136097,13240,713,0
1433,Rent,1146042,2 years,0,10,13.1,455598,0,,0,debt consolidation,Short Term,221166,185725,16140,730,1
1434,Rent,1000540,10+ years,0,9,12.3,1141976,0,,0,debt consolidation,Long Term,99999999,556244,15759,703,0
1435,Rent,1253658,< 1 year,0,12,9,189794,0,39,0,debt consolidation,Short Term,533192,100491,8013,713,1
1436,Rent,,1 year,0,11,39,1421970,1,,1,debt consolidation,Long Term,787248,847362,24076,,1
1437,Home Mortgage,,10+ years,0,10,21.5,496254,0,22,0,debt consolidation,Short Term,433136,274284,23473,,0
1438,Home Mortgage,,10+ years,0,16,12.4,482064,0,26,0,debt consolidation,Short Term,358688,293094,26753,,0
1439,Rent,1829909,4 years,0,7,27.5,180642,1,39,1,debt consolidation,Short Term,278806,94392,14731,739,0
1440,Own Home,,2 years,0,9,9,386122,0,35,0,debt consolidation,Short Term,352924,182400,11145,,0
1441,Home Mortgage,930335,5 years,0,6,12.6,166166,1,32,0,debt consolidation,Short Term,134662,39748,10931,744,0
1442,Rent,2377850,2 years,0,10,28.3,530574,0,,0,debt consolidation,Short Term,99999999,357428,34479,738,0
1443,Home Mortgage,1765461,10+ years,0,7,14.7,202312,0,79,0,debt consolidation,Short Term,99999999,135584,23687,719,0
1444,Home Mortgage,931285,2 years,0,11,14.5,542872,0,41,0,home improvements,Short Term,431332,76418,14668,719,0
1445,Home Mortgage,605454,,0,9,28.6,285098,1,24,1,debt consolidation,Short Term,68464,174819,6206,725,1
1446,Home Mortgage,1292399,10+ years,0,15,16,508926,0,7,0,home improvements,Long Term,262152,185915,22186,697,1
1447,Home Mortgage,752096,4 years,0,15,10.1,496122,0,,0,debt consolidation,Short Term,195932,347054,10905,720,0
1448,Rent,990565,5 years,0,8,10.1,454894,0,,0,other,Short Term,334554,293873,18408,736,0
1449,Rent,1340507,3 years,0,13,14,253264,0,,0,other,Long Term,258698,199044,15896,678,0
1450,Rent,,6 years,0,10,24.5,514184,0,23,0,debt consolidation,Short Term,430452,144761,15056,,0
1451,Home Mortgage,1376341,10+ years,0,8,19,890956,0,,0,debt consolidation,Short Term,401192,574009,24889,748,0
1452,Home Mortgage,820895,1 year,0,17,13.9,548394,0,,0,debt consolidation,Short Term,223124,214548,10398,7190,1
1453,Rent,1480708,10+ years,0,7,15.7,287276,0,23,0,debt consolidation,Short Term,512116,219811,6503,705,0
1454,Rent,,3 years,0,9,15.9,238194,1,,1,other,Short Term,169400,148732,5364,,0
1455,Home Mortgage,1321697,1 year,0,11,22.7,419826,0,22,0,debt consolidation,Long Term,292930,287166,23570,588,1
1456,Rent,1141254,5 years,0,5,13.4,746988,0,,0,debt consolidation,Short Term,352396,530309,19972,699,0
1457,Rent,746700,7 years,0,10,11.8,296274,0,,0,debt consolidation,Short Term,99999999,186029,14187,733,0
1458,Home Mortgage,,< 1 year,0,6,18.5,487498,0,,0,debt consolidation,Short Term,194964,324178,20082,,0
1459,Rent,201381,,0,10,21,246576,0,8,0,educational expenses,Short Term,22198,104139,3591,742,1
1460,Home Mortgage,1045285,10+ years,0,7,23,157432,0,24,0,debt consolidation,Long Term,448272,115558,16289,716,0
1461,Rent,,1 year,0,14,11.5,878746,0,,0,debt consolidation,Short Term,247698,234498,14031,,0
1462,Home Mortgage,,6 years,0,11,12.7,906400,0,,0,debt consolidation,Short Term,217184,408614,20421,,0
1463,Rent,602965,7 years,0,8,20.5,80982,0,15,0,debt consolidation,Short Term,208318,19019,9999,712,0
1464,Home Mortgage,2432000,10+ years,0,7,21.1,0,0,,0,business loan,Short Term,99999999,0,284,741,0
1465,Rent,937745,1 year,0,14,8.9,403788,0,45,0,debt consolidation,Short Term,298606,236778,8674,666,1
1466,Rent,817000,4 years,0,9,15.6,358270,0,48,0,debt consolidation,Short Term,337854,118503,9327,7400,1
1467,Home Mortgage,1091303,3 years,0,9,28.8,265012,1,72,1,home improvements,Short Term,392150,30666,7412,711,0
1468,Own Home,972420,,0,14,19.4,380556,0,,0,debt consolidation,Short Term,247720,237956,16531,7270,1
1469,Own Home,1538848,< 1 year,0,8,27.3,509784,0,,0,debt consolidation,Short Term,99999999,367194,33085,740,0
1470,Home Mortgage,3203514,10+ years,0,17,21.6,1872838,0,,0,debt consolidation,Short Term,698236,446424,24160,747,0
1471,Home Mortgage,1241308,10+ years,0,9,14.5,728068,0,29,0,debt consolidation,Long Term,631312,281694,28033,701,1
1472,Home Mortgage,3234199,8 years,0,14,28.2,878856,0,1,0,debt consolidation,Short Term,616792,534356,84359,742,1
1473,Rent,871682,5 years,1,7,5,213026,1,27,0,buy a car,Long Term,338668,44707,9952,633,1
1474,Rent,1315769,10+ years,0,13,17.1,302346,0,13,0,buy house,Long Term,348238,116204,26206,720,0
1475,Home Mortgage,2887050,10+ years,0,10,26.6,1559140,0,,0,debt consolidation,Short Term,445720,276032,9840,747,0
1476,Own Home,,8 years,0,14,28.9,10428660,0,,0,debt consolidation,Short Term,656766,1089802,16531,,0
1477,Home Mortgage,1937620,10+ years,0,6,28.6,66638,0,59,0,debt consolidation,Short Term,99999999,26828,18246,748,0
1478,Home Mortgage,1160748,8 years,0,14,8.5,437184,0,19,0,debt consolidation,Short Term,99999999,196346,11607,731,0
1479,Home Mortgage,1526840,5 years,0,9,9.3,437866,0,,0,debt consolidation,Long Term,773476,205333,14251,633,1
1480,Home Mortgage,1710798,4 years,0,13,23.9,623832,0,9,0,other,Short Term,225104,529606,39348,731,0
1481,Rent,622782,2 years,0,4,9.5,74558,0,,0,other,Short Term,33792,8759,1266,745,0
1482,Own Home,1787159,1 year,0,10,36.2,539836,0,14,0,debt consolidation,Short Term,99999999,42427,36190,750,0
1483,Home Mortgage,,7 years,0,10,18.7,0,0,,0,other,Short Term,53834,0,7626,,0
1484,Home Mortgage,1774676,10+ years,0,22,15.8,1270896,0,,0,debt consolidation,Short Term,519134,376466,25437,729,1
1485,Home Mortgage,,5 years,0,20,22.5,771210,0,,0,home improvements,Short Term,112134,432269,25177,,0
1486,Rent,,< 1 year,0,12,12.7,616308,0,,0,debt consolidation,Short Term,303754,291156,21456,,0
1487,Rent,,3 years,0,14,14.4,521048,0,29,0,debt consolidation,Short Term,374066,143108,19222,,0
1488,Home Mortgage,2569123,10+ years,0,14,20.5,780164,0,68,0,other,Short Term,269852,247285,20703,750,0
1489,Rent,1409610,4 years,0,11,19,228646,1,56,1,debt consolidation,Long Term,326436,165870,31364,678,1
1490,Rent,1457205,2 years,0,12,14,1025068,0,,0,debt consolidation,Short Term,99999999,290377,17851,750,0
1491,Own Home,507661,6 years,0,3,14.7,206756,0,,0,debt consolidation,Short Term,108856,88027,3930,741,0
1492,Home Mortgage,959880,6 years,0,14,26.4,422532,0,,0,other,Short Term,188936,89775,12798,725,0
1493,Own Home,1414607,2 years,0,13,11.5,118030,0,38,0,small business,Short Term,98824,19171,8429,679,0
1494,Home Mortgage,1047356,10+ years,0,16,27.6,712206,0,26,0,debt consolidation,Long Term,309034,351215,13615,713,0
1495,Rent,1170229,8 years,0,6,11.9,171622,0,32,0,debt consolidation,Short Term,550506,43871,18626,739,0
1496,Home Mortgage,1066888,10+ years,0,10,33.8,1090562,0,,0,debt consolidation,Long Term,246378,690384,12625,713,1
1497,Home Mortgage,655652,2 years,0,10,21,578204,0,,0,debt consolidation,Short Term,379588,341069,16282,740,0
1498,Rent,1433987,2 years,0,8,16.7,1042866,0,2,0,debt consolidation,Long Term,265672,221559,9536,717,1
1499,Home Mortgage,,1 year,0,10,16.9,960916,0,,0,debt consolidation,Short Term,322278,633194,25606,,0
1500,Rent,673588,3 years,0,8,4.8,508222,0,,0,buy a car,Short Term,99999999,61446,9655,745,0
1501,Home Mortgage,,10+ years,0,13,13.4,1662936,0,0,0,debt consolidation,Short Term,65582,465329,24918,,0
1502,Rent,,< 1 year,0,3,10.1,100628,0,,0,take a trip,Short Term,167706,67792,11659,,0
1503,Rent,1070080,2 years,0,14,19.7,1616010,0,,0,debt consolidation,Long Term,546304,654550,20082,732,0
1504,Rent,1507384,10+ years,0,19,15.3,925584,0,81,0,debt consolidation,Short Term,283624,333336,20475,735,0
1505,Home Mortgage,2181504,6 years,0,11,19.4,562760,0,,0,debt consolidation,Short Term,527164,273144,17034,746,0
1506,Home Mortgage,,< 1 year,0,16,27,1294502,0,,0,debt consolidation,Long Term,652014,635018,23587,,0
1507,Rent,,10+ years,0,11,21.2,261690,1,,1,debt consolidation,Short Term,211970,81358,16652,,0
1508,Home Mortgage,2024526,10+ years,0,13,21.5,962742,0,31,0,debt consolidation,Long Term,312554,689282,24801,677,1
1509,Home Mortgage,1436362,,0,7,25.8,1065790,0,,0,home improvements,Short Term,613844,770431,37346,722,0
1510,Home Mortgage,1705725,< 1 year,0,8,21.3,107602,0,9,0,debt consolidation,Short Term,175560,80275,13760,740,0
1511,Rent,1479929,10+ years,0,12,16,940302,0,,0,debt consolidation,Long Term,659076,653733,28859,669,0
1512,Rent,2326512,10+ years,0,6,15.1,237182,0,,0,other,Short Term,359172,4712,969,744,1
1513,Rent,2106302,2 years,0,9,21.5,6622,0,70,0,other,Short Term,66506,494,27382,688,0
1514,Home Mortgage,745864,2 years,0,12,23,1863268,0,,0,debt consolidation,Short Term,172722,247817,3835,751,0
1515,Home Mortgage,,7 years,1,12,21.1,544764,1,,0,home improvements,Long Term,766150,362729,48208,,1
1516,Home Mortgage,2136189,10+ years,0,16,19.7,546502,0,,0,debt consolidation,Short Term,539660,403541,14330,668,0
1517,Own Home,,7 years,0,7,25.2,582648,0,,0,debt consolidation,Short Term,667876,354255,29374,,0
1518,Home Mortgage,1874920,6 years,0,8,22.1,923010,0,,0,debt consolidation,Short Term,542740,607411,25436,703,0
1519,Home Mortgage,862543,9 years,0,12,11.3,746636,0,,0,debt consolidation,Short Term,325688,230850,6785,733,0
1520,Rent,1985196,10+ years,0,11,17.5,675092,0,11,0,debt consolidation,Long Term,433708,270522,10406,721,0
1521,Home Mortgage,1818053,10+ years,0,25,29,1204346,0,,0,debt consolidation,Long Term,590722,571026,18787,702,1
1522,Home Mortgage,,5 years,0,11,15.4,310002,1,72,1,debt consolidation,Short Term,118558,82460,24204,,0
1523,Rent,1415462,6 years,0,12,18.9,272140,0,,0,debt consolidation,Short Term,337084,110466,26186,708,0
1524,Rent,260604,3 years,0,12,17.5,503800,0,,0,debt consolidation,Short Term,108306,154470,3801,719,1
1525,Home Mortgage,1284343,10+ years,2,5,16.2,189376,3,,1,debt consolidation,Short Term,202796,140163,23653,736,0
1526,Rent,1051441,4 years,0,7,33.3,820512,0,,0,debt consolidation,Long Term,430056,665380,21292,731,1
1527,Rent,1232530,2 years,0,5,8.8,92774,0,,0,other,Short Term,85294,1995,4992,729,0
1528,Rent,711379,4 years,0,10,16.1,387266,0,,0,debt consolidation,Short Term,218394,87628,10315,708,0
1529,Own Home,1037894,5 years,0,14,16,544170,0,36,0,debt consolidation,Short Term,273130,195510,14271,711,0
1530,Rent,498598,5 years,0,8,10.4,262570,0,,0,debt consolidation,Short Term,94578,96824,8808,7050,1
1531,Home Mortgage,1832208,10+ years,0,20,41.5,2110262,0,,0,debt consolidation,Short Term,497904,235106,31835,7480,1
1532,Home Mortgage,1971915,2 years,0,6,14.7,251900,0,,0,debt consolidation,Long Term,430804,104633,24485,6210,1
1533,Rent,1882710,1 year,0,8,15.8,324566,0,20,0,debt consolidation,Long Term,653994,137351,11610,678,1
1534,Home Mortgage,1126890,3 years,0,6,23.9,212916,0,25,0,other,Long Term,217470,58102,18349,677,1
1535,Rent,,10+ years,0,8,17.4,347666,0,42,0,debt consolidation,Short Term,133804,82574,17575,,1
1536,Rent,,10+ years,0,10,11.7,230274,0,29,0,debt consolidation,Short Term,132792,127281,12590,,1
1537,Rent,2858835,9 years,0,17,20.6,694606,0,,0,debt consolidation,Long Term,728244,23997,45265,689,0
1538,Rent,1607647,10+ years,0,11,16.4,1221880,0,,0,debt consolidation,Short Term,155122,616265,30010,745,0
1539,Rent,458337,,0,4,44.5,370370,1,70,1,debt consolidation,Short Term,66594,79971,11841,741,1
1540,Own Home,481270,1 year,0,3,11,26752,0,48,0,debt consolidation,Short Term,99999999,13623,5174,721,0
1541,Home Mortgage,1265742,2 years,0,9,15.8,765644,0,50,0,debt consolidation,Long Term,573122,276412,11075,683,0
1542,Rent,575301,,0,10,17.8,195316,0,,0,debt consolidation,Short Term,153758,60382,14670,651,1
1543,Home Mortgage,1768539,3 years,0,15,13.8,734492,0,,0,debt consolidation,Short Term,271590,317167,22401,750,0
1544,Home Mortgage,2523200,10+ years,0,11,20.5,795168,0,,0,debt consolidation,Long Term,649242,289123,30699,738,1
1545,Rent,,2 years,0,5,17,415888,0,,0,debt consolidation,Short Term,559306,255740,12845,,0
1546,Rent,1713420,6 years,0,8,17,50688,0,,0,debt consolidation,Short Term,317438,38209,34411,743,0
1547,Home Mortgage,609026,4 years,0,8,19,222618,1,,1,debt consolidation,Short Term,35816,83239,9592,725,0
1548,Own Home,789697,10+ years,0,12,20.5,360404,1,,1,debt consolidation,Short Term,395648,277020,12701,671,0
1549,Home Mortgage,881524,< 1 year,0,3,15.5,699050,0,,0,debt consolidation,Short Term,332882,320587,8448,710,0
1550,Rent,1073557,1 year,0,7,19.7,527252,0,32,0,debt consolidation,Short Term,432432,354711,18519,734,0
1551,Home Mortgage,1728468,4 years,0,9,16.5,217932,0,71,0,debt consolidation,Short Term,155672,157909,14980,736,0
1552,Rent,,< 1 year,0,5,9,366608,0,,0,debt consolidation,Short Term,258852,295070,14158,,0
1553,Home Mortgage,1364656,10+ years,0,20,41.3,1424852,0,3,0,debt consolidation,Short Term,445104,595574,9382,734,0
1554,Home Mortgage,517009,6 years,0,9,24,206228,0,62,0,medical bills,Short Term,133034,94753,8617,707,1
1555,Home Mortgage,1516675,,0,9,31.8,941138,0,17,0,debt consolidation,Long Term,99999999,554325,26036,687,0
1556,Rent,477945,< 1 year,0,15,11,343068,0,,0,debt consolidation,Short Term,44264,188442,8962,725,0
1557,Rent,666140,3 years,0,10,29.5,636042,1,52,1,debt consolidation,Short Term,154264,103816,12601,737,0
1558,Rent,898966,10+ years,0,8,23.5,1066054,0,,0,debt consolidation,Short Term,542146,530309,14533,737,0
1559,Own Home,1955233,1 year,0,7,15.6,1429428,0,,0,debt consolidation,Long Term,659406,1154269,45133,6580,1
1560,Home Mortgage,1199166,5 years,0,15,18.9,472164,0,,0,debt consolidation,Short Term,179146,212040,19766,741,1
1561,Home Mortgage,994612,3 years,0,10,34.2,766502,0,11,0,other,Long Term,265760,350854,15002,7110,1
1562,Rent,436164,,0,3,13,546590,0,,0,other,Short Term,181324,54758,1675,731,0
1563,Rent,1412327,2 years,0,19,17.9,1270588,1,32,1,debt consolidation,Short Term,99999999,389557,31424,738,0
1564,Own Home,931190,4 years,0,10,27,310948,1,48,1,other,Long Term,257686,145027,24987,642,1
1565,Rent,1043328,8 years,0,14,27.4,418836,1,65,1,debt consolidation,Long Term,276760,84284,15563,716,1
1566,Rent,2474940,4 years,0,11,31.9,718498,0,3,0,debt consolidation,Short Term,110220,510701,28668,725,0
1567,Home Mortgage,743451,8 years,0,13,14.6,631246,0,,0,debt consolidation,Long Term,328372,352184,12391,717,0
1568,Home Mortgage,1555967,10+ years,0,7,12.2,975084,0,,0,home improvements,Short Term,99999999,549898,14522,742,0
1569,Home Mortgage,2997497,< 1 year,0,21,21.5,860530,0,,0,debt consolidation,Short Term,333740,360449,46461,745,0
1570,Home Mortgage,1205493,10+ years,0,13,11.3,330814,0,46,0,debt consolidation,Long Term,450956,246278,28228,725,1
1571,Rent,729220,4 years,0,12,12.6,292072,0,,0,debt consolidation,Short Term,151558,133437,13004,747,0
1572,Home Mortgage,2137025,10+ years,0,11,22.2,1109372,0,,0,debt consolidation,Short Term,99999999,937004,37754,718,0
1573,Home Mortgage,2191346,10+ years,0,19,35.3,3615722,0,25,0,debt consolidation,Short Term,441276,1361483,40905,748,0
1574,Home Mortgage,,10+ years,0,12,19.3,892628,0,13,0,debt consolidation,Short Term,389180,569696,26798,,0
1575,Home Mortgage,2865960,< 1 year,0,10,17,893244,0,,0,debt consolidation,Short Term,442464,448989,25555,740,0
1576,Home Mortgage,1385556,10+ years,0,20,18.2,549516,0,79,0,other,Short Term,128722,312740,23381,728,0
1577,Own Home,834651,5 years,0,6,27.4,768020,0,,0,debt consolidation,Short Term,419716,491492,17110,742,0
1578,Own Home,559797,8 years,0,5,9.9,196702,0,54,0,debt consolidation,Short Term,155562,109402,11243,720,0
1579,Home Mortgage,1698543,4 years,0,10,16.5,485210,0,80,0,debt consolidation,Short Term,367114,257298,19250,742,0
1580,Home Mortgage,3783660,1 year,0,9,17,7204516,0,,0,debt consolidation,Short Term,99999999,4249673,42251,739,0
1581,Home Mortgage,754908,2 years,0,8,17,428296,0,,0,major purchase,Short Term,99999999,98762,3963,748,0
1582,Rent,1041143,6 years,0,3,30.6,153494,0,,0,debt consolidation,Short Term,131516,115729,4755,740,0
1583,Own Home,379658,10+ years,0,7,21.1,894322,0,,0,home improvements,Short Term,193424,12350,1082,7330,1
1584,Rent,1744713,4 years,0,6,29.7,175054,0,13,0,debt consolidation,Short Term,269368,112024,9000,741,0
1585,Home Mortgage,777556,10+ years,0,11,19.6,499994,0,,0,home improvements,Long Term,270094,224105,21901,720,1
1586,Rent,946580,2 years,0,13,22.6,271854,2,,2,other,Short Term,52602,67146,7533,705,0
1587,Home Mortgage,1002820,5 years,0,11,6,721116,0,,0,debt consolidation,Long Term,99999999,225454,10279,601,0
1588,Home Mortgage,1955442,4 years,0,15,13.3,1242010,0,,0,debt consolidation,Short Term,208098,65436,20532,751,0
1589,Rent,406296,< 1 year,0,5,8,100804,0,,0,other,Short Term,112024,64600,2042,706,0
